fish_ID,total_length,weight,GIT_weight,fillet_weight,liver_weight,gill_weight
B4,10.9,11.6,0.355,1.919,0.029,0.255
C10,10.2,9.6,0.342,1.287,0.067,0.092
C11,10.6,11.8,0.475,2.907,0.067,0.092
C9,9.8,8.4,0.324,8.202,0.088,0.181
D7,10.3,10.2,0.749,3.204,0.075,0.244
D9,10.4,10.6,0.561,1.858,0.236,0.237
E10,10.1,9,0.233,1.115,0.059,0.277
E11,10.5,9.9,0.173,1.289,0.065,0.214
E12,10.1,9.1,0.211,1.031,0.069,0.128
E2,9.6,8.2,0.128,1.192,0.053,0.114
E9,9.5,7.8,0.257,1.92,0.053,0.406
F6,10.6,11.3,0.234,1.9,0.091,0.406
F7,9.5,9.4,0.31,2.56,0.068,0.243
G12,9.5,7.95,0.234,2.145,0.099,0.181
G13,9.9,10.63,0.314,2.495,0.06,0.121
G9,9.1,7.17,0.178,1.527,0.107,0.098
H1,7.1,4,0.532,0.985,0.035,0.128
H11,9.4,7.5,0.365,0.135,0.082,1.249
H13,9.1,7.7,0.371,1.129,0.061,0.225
H14,9.2,7.9,0.356,1.379,0.066,0.229
H17,7.4,4,0.228,0.411,0.04,0.137
H2,6.8,3.1,0.142,0.639,0.041,0.103
H3,7.5,4.3,0.407,0.618,0.029,0.128
I10,9.9,8.52,0.274,2.019,0.039,0.267
I11,10.4,9.96,0.305,1.578,0.023,0.205
I2,10.4,9.74,0.301,1.044,0.09,0.162
I3,9.6,8.53,0.277,2.545,0.068,0.236
I9,10.7,9.4,0.273,0.919,0.038,0.145
