sample_ID,counter,particle_number,number_by_polymer,counter_ID,comments,spectroscopy_analyst,spectroscopy_method,polymer,recovery
SR1,Garth,13,1,PET,,Garth,Raman,PET,yes
SR1,Garth,14,2,PET,,Garth,Raman,PET,yes
SR1,Garth,15,3,PET,,Garth,Raman,PET,yes
SR1,Garth,,4,,,,,PET,no
SR1,Garth,,5,,,,,PET,no
SR1,Garth,,6,,,,,PET,no
SR1,Garth,,7,,,,,PET,no
SR1,Garth,,8,,,,,PET,no
SR1,Garth,,9,,,,,PET,no
SR1,Garth,,10,,,,,PET,no
SR1,Garth,7,1,PE,,Garth,Raman,PP,yes
SR1,Garth,8,2,PE,,Garth,Raman,PP,yes
SR1,Garth,10,3,PE,,Garth,Raman,PP,yes
SR1,Garth,16,4,PE,,Garth,Raman,PP,yes
SR1,Garth,17,5,PE,,Garth,Raman,PP,yes
SR1,Garth,18,6,PE,,Garth,Raman,PP,yes
SR1,Garth,,7,,,,,PP,no
SR1,Garth,,8,,,,,PP,no
SR1,Garth,,9,,,,,PP,no
SR1,Garth,,10,,,,,PP,no
SR1,Garth,3,1,PS,dropped so not on tape,,NA,PS,yes
SR1,Garth,1,2,PS,,Garth,Raman,PS,yes
SR1,Garth,2,3,PE,,Garth,Raman,PS,yes
SR1,Garth,4,4,PS,,Garth,Raman,PS,yes
SR1,Garth,5,5,PS,,Garth,Raman,PS,yes
SR1,Garth,6,6,PS,,Garth,Raman,PS,yes
SR1,Garth,9,7,PS,,Garth,Raman,PS,yes
SR1,Garth,11,8,PS,,Garth,Raman,PS,yes
SR1,Garth,12,9,PS,,Garth,Raman,PS,yes
SR1,Garth,,10,PS,,Garth,Raman,PS,no
SR2,Maddy,12,1,PET,,Garth,Raman,PET,yes
SR2,Maddy,14,2,PET,,Garth,Raman,PET,yes
SR2,Maddy,20,3,PET,,Garth,Raman,PET,yes
SR2,Maddy,22,4,PET,"clear, not sure if blue or not",Garth,Raman,PET,yes
SR2,,,5,,,,,PET,no
SR2,,,6,,,,,PET,no
SR2,,,7,,,,,PET,no
SR2,,,8,,,,,PET,no
SR2,,,9,,,,,PET,no
SR2,,,10,,,,,PET,no
SR2,Maddy,1,1,PE,"clear, not sure if blue or not",Garth,Raman,PP,yes
SR2,Maddy,2,2,PE,,Garth,Raman,PP,yes
SR2,Maddy,6,3,PE,,Garth,Raman,PP,yes
SR2,Maddy,7,4,PE,,Garth,Raman,PP,yes
SR2,Maddy,8,5,PE,,Garth,Raman,PP,yes
SR2,Maddy,10,6,PE,,Garth,Raman,PP,yes
SR2,Maddy,13,7,PE,,Garth,Raman,PP,yes
SR2,Maddy,15,8,PE,,Garth,Raman,PP,yes
SR2,Maddy,21,9,PE,,Garth,Raman,PP,yes
SR2,,,10,,,,,PP,no
SR2,Maddy,3,1,PS,,Garth,Raman,PS,no
SR2,Maddy,4,2,PS,,Garth,Raman,PS,no
SR2,Maddy,5,3,PS,,Garth,Raman,PS,no
SR2,Maddy,9,4,PS,,Garth,Raman,PS,no
SR2,Maddy,11,5,PS,,Garth,Raman,PS,no
SR2,Maddy,16,6,PS,,Garth,Raman,PS,no
SR2,Maddy,17,7,PS,,Garth,Raman,PS,no
SR2,Maddy,18,8,PS,,Garth,Raman,PS,no
SR2,Maddy,19,9,PS,,Garth,Raman,PS,no
SR2,,,10,,,,,PS,yes
SR3,Mira,4,1,PE,,,NA,PP,yes
SR3,Mira,7,2,PE,,,NA,PP,yes
SR3,Mira,8,3,PE,,,NA,PP,yes
SR3,Mira,9,4,PE,,,NA,PP,yes
SR3,Mira,10,5,PE,,,NA,PP,yes
SR3,Mira,13,6,PE,,,NA,PP,yes
SR3,Mira,18,7,PE,,,NA,PP,yes
SR3,Mira,19,8,PE,,,NA,PP,yes
SR3,,,9,,,,,PP,yes
SR3,,,10,,,,,PP,yes
SR3,Mira,1,1,PET,,,NA,PET,yes
SR3,Mira,5,2,PET,,,NA,PET,yes
SR3,Mira,15,3,PET,,,NA,PET,yes
SR3,Mira,20,4,PET,,,NA,PET,yes
SR3,Mira,22,5,PET,,,NA,PET,yes
SR3,Mira,24,6,PET,,,NA,PET,yes
SR3,,,7,,,,,PET,no
SR3,,,8,,,,,PET,no
SR3,,,9,,,,,PET,no
SR3,,,10,,,,,PET,no
SR3,Mira,2,1,PS,,,NA,PS,yes
SR3,Mira,3,2,PS,,,NA,PS,yes
SR3,Mira,6,3,PS,,,NA,PS,yes
SR3,Mira,11,4,PS,,,NA,PS,yes
SR3,Mira,12,5,PS,,,NA,PS,yes
SR3,Mira,14,6,PS,,,NA,PS,yes
SR3,Mira,16,7,PS,,,NA,PS,yes
SR3,Mira,17,8,PS,,,NA,PS,yes
SR3,Mira,21,9,PS,,,NA,PS,yes
SR3,Mira,23,10,PS,,,NA,PS,yes
